,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2
442,0.534118938446045,0.005622193637116964,0.012383508682250976,0.00022236626915357193,0.1,3,1024,0.001,5e-06,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.62,0.572,0.604,0.592,0.612,0.77,0.01678094157072244,568,0.62,0.572,0.604,0.592,0.612,0.6,0.01678094157072244,568
443,0.5342950344085693,0.003302319011063373,0.012682008743286132,0.0006137315362205254,0.1,3,1024,0.001,1e-05,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.62,0.572,0.604,0.592,0.612,0.77,0.01678094157072244,568,0.62,0.572,0.604,0.592,0.612,0.6,0.01678094157072244,568
680,0.22742762565612792,0.005741551647911411,0.006368589401245117,0.00030879524473903297,0.3,2,512,0.001,1e-06,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.604,0.588,0.592,0.608,0.608,0.77,0.00839047078536122,568,0.604,0.588,0.592,0.608,0.608,0.6,0.00839047078536122,568
687,0.22609248161315917,0.0026204113226710223,0.006165170669555664,0.00013049070296406666,0.3,2,512,0.003,1e-05,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.003, 'reg_lambda': 1e-05}",0.604,0.58,0.608,0.6,0.608,0.77,0.010430723848324247,568,0.604,0.58,0.608,0.6,0.608,0.6,0.010430723848324247,568
686,0.22706217765808107,0.004239138983658035,0.006170225143432617,0.00016782354065316665,0.3,2,512,0.003,5e-06,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.003, 'reg_lambda': 5e-06}",0.604,0.58,0.608,0.6,0.608,0.77,0.010430723848324247,568,0.604,0.58,0.608,0.6,0.608,0.6,0.010430723848324247,568
685,0.22648892402648926,0.004234106037795445,0.006410074234008789,0.0006800274068808599,0.3,2,512,0.003,3e-06,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.604,0.58,0.608,0.6,0.608,0.77,0.010430723848324247,568,0.604,0.58,0.608,0.6,0.608,0.6,0.010430723848324247,568
681,0.2291780948638916,0.004932366549046162,0.006356525421142578,0.0001797206397382691,0.3,2,512,0.001,3e-06,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.604,0.588,0.592,0.608,0.608,0.77,0.00839047078536122,568,0.604,0.588,0.592,0.608,0.608,0.6,0.00839047078536122,568
682,0.23195362091064453,0.012395658008452702,0.006151247024536133,0.00013978661640597244,0.3,2,512,0.001,5e-06,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.604,0.588,0.592,0.608,0.608,0.77,0.00839047078536122,568,0.604,0.588,0.592,0.608,0.608,0.6,0.00839047078536122,568
683,0.22746920585632324,0.006715553766786005,0.006199550628662109,0.00014050890237577522,0.3,2,512,0.001,1e-05,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.604,0.588,0.592,0.608,0.608,0.77,0.00839047078536122,568,0.604,0.588,0.592,0.608,0.608,0.6,0.00839047078536122,568
684,0.22388510704040526,0.001038505401681659,0.00620121955871582,6.69804993801932e-05,0.3,2,512,0.003,1e-06,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.604,0.58,0.608,0.6,0.608,0.77,0.010430723848324247,568,0.604,0.58,0.608,0.6,0.608,0.6,0.010430723848324247,568
